epoch,loss,auroc,average_precision,f1,mcc,balanced_accuracy,threshold,learning_rate
1,0.8962076375072092,0.8923889824686874,0.9090046864496484,0.8146243930305627,0.6369882496371617,0.8182527658319767,0.4321709871292114,0.001
2,0.827859549588759,0.9035655471595134,0.9192147909415378,0.8214689265536723,0.646127041944443,0.8230163958080432,0.47337856888771057,0.001
3,0.8100681293081811,0.9135592422859402,0.9265094694506524,0.829849012775842,0.6734731816087756,0.8358904143964416,0.51575767993927,0.001
4,0.7914957218094327,0.9183438885072506,0.9294771777644028,0.8387461169161254,0.680289881866977,0.8400985254124047,0.4423905611038208,0.001
5,0.7805657564527235,0.9177552768027704,0.9299202975061961,0.8342956120092379,0.6797149626584404,0.8392523862848611,0.5651296377182007,0.001
6,0.771955044321701,0.9201009407122313,0.9318896805499604,0.8288996372430472,0.6904634830570056,0.8414804219560165,0.6639181971549988,0.001
7,0.7629829748250381,0.9215865069432028,0.9334394368219698,0.8417489421720733,0.6858682747395796,0.8428991753476307,0.4668335020542145,0.001
8,0.7562138287731952,0.9226115978306216,0.9348747676302916,0.837518910741301,0.7070629425483779,0.8496011618533192,0.6511516571044922,0.001
9,0.7527169664621827,0.9216279120830861,0.9330918256301942,0.8385954558866923,0.6972264319054503,0.8468074127747403,0.5396434664726257,0.001
10,0.7482058557553983,0.9243161094224923,0.9356958769656988,0.8428695904734244,0.6987675199004467,0.8484918491472737,0.4882325232028961,0.001
11,0.741085885296285,0.9230485475265133,0.9347848079706211,0.8455653159535279,0.694944629454408,0.8473784586623003,0.5179917216300964,0.001
12,0.7388231631064747,0.9212605983042714,0.9326334103249644,0.8389450056116723,0.6785249259162848,0.8392602281674149,0.5682079195976257,0.001
13,0.734930896142842,0.9238092101342217,0.9354394548091378,0.8375515008828722,0.6940625882344118,0.8454079504142082,0.5583097338676453,0.001
14,0.7299878872175577,0.9217436582695788,0.9333830787895822,0.8392063962096535,0.6999758317254022,0.8479266062528035,0.5989453196525574,0.001
15,0.7270874193838055,0.9213292931954417,0.9327684365405209,0.8394054211600117,0.6935009907377515,0.8456905718614434,0.5641976594924927,0.001
16,0.7258528502987583,0.9256760486949539,0.9373557389531155,0.8449971081550028,0.7011795686715281,0.8498931935596187,0.5793986916542053,0.001
17,0.7223768294687063,0.9238252075746312,0.9358670951782045,0.847072200113701,0.6989778575804081,0.8493378314371661,0.5182961225509644,0.001
18,0.7177389537837823,0.9242549427385736,0.935744022942016,0.8415812591508053,0.6996376168387345,0.8484896534201587,0.614513099193573,0.001
19,0.716004350550369,0.9210153042179918,0.9339362816893613,0.8358563371920451,0.6946891874456335,0.8451256426422753,0.5693497061729431,0.001
20,0.7153642887386603,0.922039140404202,0.933822734519297,0.8357265939115451,0.6804640939015102,0.8398138650757055,0.49243518710136414,0.0007
21,0.702107491716002,0.9253038729489557,0.9371783408083875,0.8440579710144928,0.7002615112653786,0.8493324989570297,0.5817261934280396,0.0007
22,0.6945228294634203,0.9247775257919517,0.9362712736309916,0.8423200233168172,0.6991188355062645,0.8484909081213672,0.6289507746696472,0.0007
23,0.6946840052813232,0.9229895765697097,0.9344146274165601,0.8368176538908246,0.6869486578215819,0.842611221420259,0.5846062898635864,0.0007
24,0.6917915420077193,0.9230068287113278,0.9350532255180934,0.8380896913220733,0.6906023127029093,0.8442906389879581,0.6022146344184875,0.0007
25,0.6911705161183777,0.9226890756302522,0.9347162895540767,0.841296928327645,0.6877944588519003,0.8437370020796673,0.5297993421554565,0.0007
26,0.6894630590679631,0.9245294086279529,0.9358098470506356,0.8387096774193549,0.6873937308365459,0.8431734843993588,0.5564016699790955,0.0007
27,0.6880015624209379,0.9234939664555633,0.9350273778324938,0.8406050029086678,0.6949786684087413,0.8465312216711993,0.6636620759963989,0.0007
28,0.6839370265395693,0.9229397021966681,0.9351527598876319,0.8386530014641288,0.694015583105417,0.8456893171602348,0.5713080167770386,0.0007
29,0.6852115646271298,0.9244183675709925,0.9353241932762697,0.8431545001465846,0.7031502365918993,0.8501695415008108,0.5596369504928589,0.0007
30,0.6828427471176056,0.9232709433157361,0.9350691443807411,0.8378698224852071,0.6970319553791858,0.8465266733793181,0.6089431047439575,0.0007
31,0.6811790268416433,0.922007772873987,0.9340273076719731,0.8407716671465592,0.6912990226722185,0.8451337982001311,0.5574454069137573,0.0007
32,0.6787314429197824,0.9203355698382375,0.9324986251746562,0.8411967779056386,0.691797717988543,0.8454140670826,0.555060625076294,0.0007
33,0.6758369777359023,0.9206679088208631,0.9319488934517337,0.8406386066763425,0.694220455731109,0.8462517369769856,0.5577957034111023,0.0007
34,0.6748818143698615,0.9206410895825297,0.9331723476027857,0.836978710994459,0.6890675123269016,0.8434501460158532,0.5969386696815491,0.0007
35,0.676260037640217,0.9204528844012408,0.9328472316963052,0.8371686571511797,0.6889468032976636,0.8434504596911553,0.6224501132965088,0.0007
36,0.6712744035730305,0.918226103431294,0.9313226984612911,0.8361417780360255,0.6858805276494331,0.8420509973306232,0.5589267611503601,0.0007
37,0.6701270335948254,0.9220234566390946,0.934039429664884,0.842589928057554,0.6946225851081873,0.8468141567937365,0.6153094172477722,0.0007
38,0.6702396940758404,0.92102816490538,0.9328926079643488,0.8402537485582469,0.6908460164460832,0.844853372480011,0.5040837526321411,0.0007
39,0.6694131412989577,0.925430284095721,0.9367787049288526,0.8507377979568672,0.7056367209212978,0.8526987054620281,0.5423200726509094,0.0007
40,0.6660044052254845,0.9233716330877257,0.9358367007312283,0.8447822274188833,0.7050567177232836,0.8512904601930358,0.6369541883468628,0.00049
41,0.6545543003508869,0.9211059563803123,0.9335573682643524,0.8423176707985011,0.6947508186120117,0.8468136862807834,0.5622943639755249,0.00049
42,0.6523757610121967,0.9180702068061266,0.9306783202915987,0.8289940828402367,0.6801334825435548,0.8381256645995464,0.6411981582641602,0.00049
43,0.648912352193184,0.9197311175309989,0.931890483128071,0.8320288982540638,0.6941998067564974,0.843721788827513,0.6945579051971436,0.00049
44,0.6486775852576876,0.9192803661218126,0.9317342027932383,0.8436342922244375,0.6928986330752004,0.8462569126194711,0.5998982191085815,0.00049
45,0.6468820445106234,0.9218832437790345,0.9335540352101093,0.8375366568914956,0.6925011231024936,0.8448488241881299,0.6226804852485657,0.00049
46,0.6463151107251526,0.9212307991505674,0.9331339969155652,0.836776258364853,0.687706355985453,0.8428907061144727,0.5797344446182251,0.00049
