drugname,raw_smiles,canonical_smiles,toxicity_score,n_reports
PREDNISOLONE,CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0.5281742354031511,10790
CYCLOPHOSPHAMIDE,C1CNP(=O)(OC1)N(CCCl)CCCl,O=P1(N(CCCl)CCCl)NCCCO1,0.46560386473429954,10350
REMICADE,,,0.5607340518496942,10299
ACETAMINOPHEN\HYDROCODONE BITARTRATE,,,0.11869112543381259,10085
ONDANSETRON,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0.6687061183550652,9970
FUROSEMIDE,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0.5755229283990346,9944
DICLOFENAC SODIUM,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],0.7090311312031234,9733
PHTHALYLSULFATHIAZOLE,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0.722581317764804,9592
ADALIMUMAB,,,0.5635133684097499,9313
TRAMADOL HYDROCHLORIDE,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl,COc1cccc(C2(O)CCCCC2CN(C)C)c1.Cl,0.19041464728056004,9285
CIMZIA,,,0.623422840504691,9273
GABAPENTIN,C1CCC(CC1)(CC(=O)O)CN,NCC1(CC(=O)O)CCCCC1,0.4891364902506964,8975
METHOTREXATE SODIUM,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+],CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1.[Na+].[Na+],0.5963209570025957,8861
ATORVASTATIN,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,0.4963680387409201,8673
OMEPRAZOLE,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,0.514302393461763,8565
ALBUTEROL,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0.5437684583579445,8465
AMLODIPINE,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,0.5149693399062162,8317
SIMPONI,,,0.6256717147044455,8188
XOLAIR,,,0.3915239620549464,8117
ELIQUIS,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,0.5013708873379861,8024
HUMAN IMMUNOGLOBULIN G,,,0.3709898889027587,8011
MORPHINE SULFATE,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O.OS(=O)(=O)O,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5.CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5.O=S(=O)(O)O,0.3490652372859197,7649
METFORMIN,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,0.5183162381777008,7507
HYDROCORTISONE,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0.5802805392891189,7343
ARAVA,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,0.6777186519306864,7329
CORTISONE ACETATE,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C,0.7215172601992086,7329
CARBOPLATIN,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],O=C(O)C1(C(=O)O)CCC1.[NH2-].[NH2-].[Pt+2],0.4951687438734071,7141
PANTOPRAZOLE SODIUM,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC(F)F)OC.[Na+],COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c1OC.[Na+],0.5489239598278336,6970
KEYTRUDA,,,0.4811361981063365,6865
SODIUM CHLORIDE,[Na+].[Cl-],[Cl-].[Na+],0.5054961160779715,6823
VITAMIN D3,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,0.48747220163083765,6745
ERELZI,,,0.6672627030248846,6711
INFLIXIMAB,,,0.5515695067264574,6690
